País,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Letônia,,,,,,,,,,387.0,,,,,,8.0
Líbano,,,,,,,,,,,,,,,,
Libéria,,,,,,,,,,,658.0,4.441,5.155,7.554,9.145,39.784
Luxemburgo,13.606,7.845,7.344,9.547,2.444,5.135,8.281,2.295,2.759,2.719,1.778,1.666,1.086,,36.0,581.0
Macau,,,,,,,,,,,,,,,,7.0
Malásia,,,,,,,,,,,15.0,48.0,,,,
Malavi,,,,,,,,,,,,,,,,3.66
Malta,,,,,,,,,,,503.0,3.661,3.49,3.441,3.127,6.561
"Marshall, Ilhas",,,,,,,,,,,923.0,7.276,6.27,8.644,7.24,7.417
Martinica,,,,,,,,,,,,,,,,9.0
Mauritânia,,,,,,,,,,,,,,9.0,,
México,,,,1.35,,,1.521,,,664.0,2.748,4.0,24.0,9.0,6.0,3.0
Moçambique,,,,,,,,,,,,,,,383.0,
Montenegro,,,,,,,,,,,,9.0,9.0,14.0,,
Namíbia,340.0,,,,,,,,,,,,,,,
Nicarágua,,24.0,,,,,,,,,,,,,,
Nigéria,7.56,41.0,,54.0,6.449,1.35,,,,,5.175,28.437,12.094,68.247,32.234,10.8
Noruega,,,,10.268,5.104,2.375,7.179,1.058,,,1.295,628.0,1.859,1.878,2.711,861.0
Nova Caledônia,,,,,,,,,,,,,,7.227,,
Nova Zelândia,,,,2.587,2.364,1.004,2.8,809.0,504.0,1.678,969.0,500.0,95.0,657.0,63.0,338.0
Omã,,,,,,,,,,,,,,,194.0,
Países Baixos,340.412,171.654,87.368,125.414,134.879,57.792,165.289,44.987,42.953,,9.451,44.882,248.0,3.791,7.034,2.244
Palau,,,,,,,,,,,,,,,,45.0
Panamá,1.161,24.0,,,39.0,,,,,,1.183,7.918,10.821,29.52,11.49,14.785
Paraguai,,486.927,510.989,240.168,354.824,481.564,521.847,495.428,985.739,,,,,,,
Peru,,,,,,,,,,,5.193,9.755,,9.72,,47.277
Pitcairn,,,,,,,,,,,,,,,,11.0
Polônia,20.29,6.982,20.464,11.732,21.663,19.249,30.181,11.654,11.457,,720.0,5.0,74.0,4.0,,298.0
Porto Rico,,,,,,,,,,,,,,,,
Portugal,49.09,141.0,4.577,95.0,47.172,23.81,71.544,47.736,,,,18.328,7.958,6.358,1.918,13.742
Quênia,,,,,94.0,6.0,,,,,6.771,,,,1.44,
Reino Unido,100.097,30.092,123.624,122.629,82.937,59.161,305.807,68.382,117.044,60.711,67.708,34.295,22.913,25.316,18.835,11.326
República Dominicana,,,,,,,,,,,,,,,,
Rússia,,,,,,,190.656,47.664,,,,,1.463,181.931,66.046,
São Cristóvão e Névis,,,,,,,,,,,,,,,,16.0
São Tomé e Príncipe,,,,,,,,,,,2.184,,,,,
São Vicente e Granadinas,,,,,,,,,,,,,,8.0,20.0,39.0
Senegal,,,,,,,,,,,,,,,,
Serra Leoa,,,,,,,,,,,,18.0,9.24,6.525,8.101,23.2
Singapura,,,,,,,,,,,,,,4.504,4.322,3.941
